
    PO_GenerationByGeneratorType(iTime,iGeneratorType) := data table 
                       NGCC-New      Wind     Solar
                    !  --------  --------  --------
'2015-07-01 17:50:00'  1600.000  2431.629   911.868
'2015-07-01 17:55:00'  1600.000  2347.051   834.159
'2015-07-01 18:00:00'  1600.000  2485.080   782.500
'2015-07-01 18:05:00'  1600.000  2554.995   757.448
'2015-07-01 18:10:00'  1600.000  2682.817   705.915
'2015-07-01 18:15:00'  1600.000  2732.546   664.388
'2015-07-01 18:20:00'  1600.000  2842.441   611.865
'2015-07-01 18:25:00'  1600.000  3168.186   583.399
'2015-07-01 18:30:00'  1600.000  3219.547   522.341
'2015-07-01 18:35:00'  1600.000  3244.646   473.157
'2015-07-01 18:40:00'  1600.000  3343.169   427.020
'2015-07-01 18:45:00'  1600.000  3568.740   376.483
'2015-07-01 18:50:00'  1600.000  3426.480   326.791
'2015-07-01 18:55:00'  1600.000  3671.629   288.445
'2015-07-01 19:00:00'  1600.000  3794.880   240.000
'2015-07-01 19:05:00'  1600.000  3968.143   228.797
'2015-07-01 19:10:00'  1600.000  4020.337   204.040
'2015-07-01 19:15:00'  1544.430  4087.845   191.000
'2015-07-01 19:20:00'  1600.000  4270.690   164.632
'2015-07-01 19:25:00'  1273.391  4462.725   145.100
'2015-07-01 19:30:00'  1302.680  4421.661   117.983
'2015-07-01 19:35:00'  1222.287  4661.011   110.385
'2015-07-01 19:40:00'   887.589  4903.428    89.234
'2015-07-01 19:45:00'   980.081  4922.031    71.237
'2015-07-01 19:50:00'   736.104  4977.458    49.038
'2015-07-01 19:55:00'   640.000  5107.358    29.310
'2015-07-01 20:00:00'   640.000  5246.280    10.000
'2015-07-01 20:05:00'   640.000  5279.471     8.776
'2015-07-01 20:10:00'   640.000  5168.773     8.034
'2015-07-01 20:15:00'   640.000  5182.628     6.764
'2015-07-01 20:20:00'   640.000  5262.949     6.740
'2015-07-01 20:25:00'   640.000  5355.213     5.969
'2015-07-01 20:30:00'   640.000  5123.738     4.851
'2015-07-01 20:35:00'   640.000  5368.601     4.169
'2015-07-01 20:40:00'   640.000  5274.718     3.172
'2015-07-01 20:45:00'   640.000  5245.561     2.672
'2015-07-01 20:50:00'   640.000  5309.065     1.692
'2015-07-01 20:55:00'   640.000  5141.983     0.874
'2015-07-01 21:00:00'   640.000  5295.840          
'2015-07-01 21:05:00'   640.000  5264.710          
'2015-07-01 21:10:00'   640.000  5580.801          
'2015-07-01 21:15:00'   640.000  5334.677          
'2015-07-01 21:20:00'   640.000  5460.152          
'2015-07-01 21:25:00'   640.000  5578.284          
'2015-07-01 21:30:00'   640.000  5415.152          
'2015-07-01 21:35:00'   640.000  5313.542          
'2015-07-01 21:40:00'   640.000  5666.121          
'2015-07-01 21:45:00'   640.000  5299.380          
'2015-07-01 21:50:00'   640.000  5543.341          
'2015-07-01 21:55:00'   640.000  5588.764          
'2015-07-01 22:00:00'   640.000  5574.320          
'2015-07-01 22:05:00'   640.000  5730.792          
'2015-07-01 22:10:00'   640.000  5527.788          
'2015-07-01 22:15:00'   640.000  5618.338          
'2015-07-01 22:20:00'   640.000  5619.822          
'2015-07-01 22:25:00'   640.000  5818.812          
'2015-07-01 22:30:00'   640.000  5596.354          
'2015-07-01 22:35:00'   640.000  5803.512          
'2015-07-01 22:40:00'   640.000  5879.382          
'2015-07-01 22:45:00'   640.000  5638.956          
'2015-07-01 22:50:00'   640.000  5571.128          
'2015-07-01 22:55:00'   640.000  5813.014          
'2015-07-01 23:00:00'   640.000  5687.600          
'2015-07-01 23:05:00'   640.000  5598.893          
'2015-07-01 23:10:00'   640.000  5528.271          
'2015-07-01 23:15:00'   640.000  5562.420          
'2015-07-01 23:20:00'   640.000  5602.567          
'2015-07-01 23:25:00'   640.000  5478.091          
'2015-07-01 23:30:00'   640.000  5587.546          
'2015-07-01 23:35:00'   640.000  5589.244          
'2015-07-01 23:40:00'   640.000  5294.952          
'2015-07-01 23:45:00'   640.000  5474.442          
'2015-07-01 23:50:00'   640.000  5360.680          
'2015-07-01 23:55:00'   640.000  5240.243          
'2015-07-02 00:00:00'   640.000  5243.920          
'2015-07-02 00:05:00'   640.000  5191.973          
'2015-07-02 00:10:00'   640.000  5234.543          
'2015-07-02 00:15:00'   640.000  5136.525          
'2015-07-02 00:20:00'   640.000  5150.418          
'2015-07-02 00:25:00'   640.000  5098.412          
'2015-07-02 00:30:00'   640.000  4970.737          
'2015-07-02 00:35:00'   640.000  5007.818          
'2015-07-02 00:40:00'   640.000  4806.109          
'2015-07-02 00:45:00'   640.000  4952.772          
'2015-07-02 00:50:00'   640.000  4790.385          
'2015-07-02 00:55:00'   640.000  4779.702          
'2015-07-02 01:00:00'   640.000  4738.880          
'2015-07-02 01:05:00'   640.000  4766.725          
'2015-07-02 01:10:00'   640.000  4651.441          
'2015-07-02 01:15:00'   640.000  4586.286          
'2015-07-02 01:20:00'   640.000  4519.538          
'2015-07-02 01:25:00'   640.000  4646.085          
'2015-07-02 01:30:00'   640.000  4512.800          
'2015-07-02 01:35:00'   640.000  4492.229          
'2015-07-02 01:40:00'   640.000  4461.289          
'2015-07-02 01:45:00'   640.000  4465.162          
'2015-07-02 01:50:00'   640.000  4347.820          
'2015-07-02 01:55:00'   640.000  4355.391          
'2015-07-02 02:00:00'   640.000  4332.960          
'2015-07-02 02:05:00'   640.000  4337.255          
'2015-07-02 02:10:00'   640.000  4187.803          
'2015-07-02 02:15:00'   640.000  4212.379          
'2015-07-02 02:20:00'   640.000  4335.291          
'2015-07-02 02:25:00'   640.000  4151.719          
'2015-07-02 02:30:00'   640.000  4134.575          
'2015-07-02 02:35:00'   640.000  4045.949          
'2015-07-02 02:40:00'   640.000  4183.586          
'2015-07-02 02:45:00'   640.000  4041.738          
'2015-07-02 02:50:00'   640.000  3918.692          
'2015-07-02 02:55:00'   640.000  3965.163          
'2015-07-02 03:00:00'   640.000  3978.960          
'2015-07-02 03:05:00'   640.000  3889.303          
'2015-07-02 03:10:00'   640.000  3808.271          
'2015-07-02 03:15:00'   640.000  3806.172          
'2015-07-02 03:20:00'   640.000  3675.583          
'2015-07-02 03:25:00'   640.000  3582.820          
'2015-07-02 03:30:00'   640.000  3572.536          
