
    PO_GenerationByGeneratorType(iTime,iGeneratorType) := data table 
                        Nuclear       Oil  NGCC-Old  NGCC-New  NGCT-Old      Wind
                    !  --------  --------  --------  --------  --------  --------
'2015-07-02 23:30:00'   700.000    19.200  1400.000  1087.793   337.500   489.618
'2015-07-02 23:45:00'   700.000    19.200  1400.000   959.677   337.500   492.403
'2015-07-03 00:00:00'   667.093    19.200  1400.000   800.000   337.500   509.000
'2015-07-03 00:15:00'   700.000    19.200  1400.000   830.272   337.500   459.417
'2015-07-03 00:30:00'   700.000    19.200  1400.000   930.144   337.500   453.812
'2015-07-03 00:45:00'   662.872    19.200  1400.000   800.000   337.500   430.832
'2015-07-03 01:00:00'   700.000    19.200  1400.000   814.544   337.500   401.000
'2015-07-03 01:15:00'   671.021    19.200  1400.000   800.000   337.500   367.940
'2015-07-03 01:30:00'   688.579    19.200  1400.000   800.000   337.500   361.125
'2015-07-03 01:45:00'   507.388    19.200  1400.000   800.000   337.500   386.059
'2015-07-03 02:00:00'   637.754    19.200  1400.000   800.000   337.500   357.000
'2015-07-03 02:15:00'   638.063    19.200  1400.000   800.000   337.500   364.792
'2015-07-03 02:30:00'   567.115    19.200  1400.000   800.000   337.500   379.184
'2015-07-03 02:45:00'   492.345    19.200  1400.000   800.000   337.500   395.487
'2015-07-03 03:00:00'   458.703    19.200  1400.000   800.000   337.500   413.000
'2015-07-03 03:15:00'   385.323    19.200  1400.000   800.000   337.500   415.021
'2015-07-03 03:30:00'   554.888    19.200  1400.000   800.000   337.500   406.926
'2015-07-03 03:45:00'   535.351    19.200  1400.000   800.000   337.500   379.495
'2015-07-03 04:00:00'   587.001    19.200  1400.000   800.000   337.500   348.000
'2015-07-03 04:15:00'   626.183    19.200  1400.000   800.000   337.500   329.935
'2015-07-03 04:30:00'   700.000    19.200  1400.000   935.630   337.500   331.631
'2015-07-03 04:45:00'   700.000    19.200  1400.000   996.899   337.500   330.592
'2015-07-03 05:00:00'   700.000    19.200  1400.000  1078.461   337.500   306.000
'2015-07-03 05:15:00'   700.000    19.200  1400.000  1097.655   337.500   280.610
