
    PO_GenerationByGeneratorType(iTime,iGeneratorType) := data table 
                        Nuclear      Coal       Oil  NGCC-New      Wind     Solar
                    !  --------  --------  --------  --------  --------  --------
'2015-07-01 16:25:00'   400.000   383.000   400.000  3100.680   770.638   538.382
'2015-07-01 16:30:00'   400.000   383.000   400.000  2987.818   811.343   516.516
'2015-07-01 16:35:00'   400.000   383.000   400.000  3024.926   791.861   492.039
'2015-07-01 16:40:00'   400.000   383.000   400.000  2983.497   767.804   474.583
'2015-07-01 16:45:00'   400.000   383.000   400.000  2971.689   807.066   482.838
'2015-07-01 16:50:00'   400.000   383.000   400.000  3042.009   793.413   459.602
'2015-07-01 16:55:00'   400.000   383.000   400.000  3022.753   806.933   466.436
'2015-07-01 17:00:00'   400.000   383.000   400.000  3143.958   809.000   422.000
'2015-07-01 17:05:00'   400.000   383.000   400.000  3311.176   830.404   377.625
'2015-07-01 17:10:00'   400.000   383.000   400.000  3207.381   849.347   407.493
'2015-07-01 17:15:00'   400.000   383.000   400.000  3223.513   879.010   378.211
'2015-07-01 17:20:00'   400.000   383.000   400.000  3249.482   826.337   347.141
'2015-07-01 17:25:00'   400.000   383.000   400.000  3241.049   857.013   348.275
'2015-07-01 17:30:00'   400.000   383.000   400.000  3236.630   934.426   334.011
'2015-07-01 17:35:00'   400.000   383.000   400.000  3101.923   918.474   314.217
'2015-07-01 17:40:00'   400.000   383.000   400.000  3364.927   895.644   300.739
'2015-07-01 17:45:00'   400.000   383.000   400.000  3340.895   905.213   287.349
'2015-07-01 17:50:00'   400.000   383.000   400.000  3516.720   923.647   270.143
'2015-07-01 17:55:00'   400.000   383.000   400.000  3587.502   919.772   240.715
'2015-07-01 18:00:00'   400.000   383.000   400.000  3410.609   964.000   242.000
'2015-07-01 18:05:00'   400.000   383.000   400.000  3619.326   965.636   223.559
'2015-07-01 18:10:00'   400.000   383.000   400.000  3373.844  1077.933   212.346
'2015-07-01 18:15:00'   400.000   383.000   400.000  3419.024  1082.386   207.748
'2015-07-01 18:20:00'   400.000   383.000   400.000  3154.573  1157.258   186.937
'2015-07-01 18:25:00'   400.000   383.000   400.000  3374.614  1200.164   183.312
'2015-07-01 18:30:00'   400.000   383.000   400.000  3137.713  1209.287   154.516
'2015-07-01 18:35:00'   400.000   383.000   400.000  3213.096  1273.555   144.119
'2015-07-01 18:40:00'   400.000   383.000   400.000  3384.431  1337.505   138.276
'2015-07-01 18:45:00'   400.000   383.000   400.000  3307.412  1395.018   110.624
'2015-07-01 18:50:00'   400.000   383.000   400.000  3201.368  1365.202   103.400
'2015-07-01 18:55:00'   400.000   383.000   400.000  3298.324  1440.488    89.762
'2015-07-01 19:00:00'   400.000   383.000   400.000  3185.434  1476.000    76.000
'2015-07-01 19:05:00'   400.000   383.000   400.000  3145.207  1517.931    69.582
'2015-07-01 19:10:00'   400.000   383.000   400.000  3130.087  1529.556    69.589
'2015-07-01 19:15:00'   400.000   383.000   400.000  3192.736  1553.948    58.339
'2015-07-01 19:20:00'   400.000   383.000   400.000  3053.674  1622.807    54.386
'2015-07-01 19:25:00'   400.000   383.000   400.000  2911.340  1730.339    47.984
'2015-07-01 19:30:00'   400.000   383.000   400.000  3141.214  1756.179    40.434
'2015-07-01 19:35:00'   400.000   383.000   400.000  2745.663  1797.389    33.788
'2015-07-01 19:40:00'   400.000   383.000   400.000  2834.572  1835.085    29.140
'2015-07-01 19:45:00'   400.000   383.000   400.000  2472.591  1933.433    19.999
'2015-07-01 19:50:00'   400.000   383.000   400.000  2575.486  1952.124    17.171
'2015-07-01 19:55:00'   400.000   383.000   400.000  2768.156  1968.817    10.144
'2015-07-01 20:00:00'   400.000   383.000   400.000  2554.609  2058.000     4.000
'2015-07-01 20:05:00'   400.000   383.000   400.000  2560.881  2068.235     3.826
'2015-07-01 20:10:00'   400.000   383.000   400.000  2361.932  1978.938     3.115
'2015-07-01 20:15:00'   400.000   383.000   400.000  2536.274  2065.227     2.764
'2015-07-01 20:20:00'   400.000   383.000   400.000  2374.936  2033.653     2.554
'2015-07-01 20:25:00'   400.000   383.000   400.000  2320.325  2079.327     2.135
'2015-07-01 20:30:00'   400.000   383.000   400.000  2300.682  1998.451     2.190
'2015-07-01 20:35:00'   400.000   383.000   400.000  2289.546  2113.537     1.421
'2015-07-01 20:40:00'   400.000   383.000   400.000  2323.004  2058.882     1.379
'2015-07-01 20:45:00'   400.000   383.000   400.000  2381.019  2008.820     1.043
'2015-07-01 20:50:00'   400.000   383.000   400.000  2210.337  2013.140     0.629
'2015-07-01 20:55:00'   400.000   383.000   400.000  2306.814  1991.844     0.384
'2015-07-01 21:00:00'   400.000   383.000   400.000  2195.133  2059.000          
'2015-07-01 21:05:00'   400.000   383.000   400.000  2060.157  2055.531          
'2015-07-01 21:10:00'   400.000   383.000   400.000  2031.296  1992.800          
'2015-07-01 21:15:00'   400.000   383.000   400.000  1945.134  2085.084          
'2015-07-01 21:20:00'   400.000   383.000   400.000  2084.443  2050.604          
