
    PO_StorageStatus(iTime,iStorageStatus) := data table 
                       Generation      Charge   Discharge
'2015-07-04 13:00:00'       964.000      3062.500       245.533
'2015-07-04 14:00:00'       828.000      2940.000       504.033
'2015-07-04 15:00:00'       930.000      2635.000       517.165
'2015-07-04 16:00:00'       768.000      2402.500       864.198
'2015-07-04 17:00:00'       940.000      1592.500      1644.599
'2015-07-04 18:00:00'      1904.000       827.500      1635.467
'2015-07-04 19:00:00'      1476.000       267.500      3003.203
'2015-07-04 20:00:00'      1886.000        15.000      2703.302
'2015-07-04 21:00:00'      2626.000                    1883.368
'2015-07-04 22:00:00'      2566.000                    1706.033
'2015-07-04 23:00:00'      2998.000                    1036.698
'2015-07-05 00:00:00'      3208.000                     259.559
'2015-07-05 01:00:00'      3392.000                            
'2015-07-05 02:00:00'      3344.000                            
'2015-07-05 03:00:00'      3872.000                            
'2015-07-05 04:00:00'      4252.000                            
'2015-07-05 05:00:00'      3962.000                            
'2015-07-05 06:00:00'      3242.000         5.000              
'2015-07-05 07:00:00'      2406.000       220.000       795.325
'2015-07-05 08:00:00'      1812.000       797.500      1227.932
'2015-07-05 09:00:00'      2214.000      1447.500       453.337
'2015-07-05 10:00:00'      1318.000      1972.500       963.039
'2015-07-05 11:00:00'      1738.000      2552.500        55.508
'2015-07-05 12:00:00'      4180.000      2915.000              
'2015-07-05 13:00:00'      4694.000      3007.500              
'2015-07-05 14:00:00'      4880.000      2960.000              
'2015-07-05 15:00:00'      3876.000      2752.500              
'2015-07-05 16:00:00'      2414.000      2060.000              
'2015-07-05 17:00:00'      1750.000      1600.000       718.603
'2015-07-05 18:00:00'      1764.000       910.000      1579.539
'2015-07-05 19:00:00'      3544.000       290.000       789.412
'2015-07-05 20:00:00'      6112.000        10.000              
'2015-07-05 21:00:00'      7390.000                            
'2015-07-05 22:00:00'      7006.000                            
'2015-07-05 23:00:00'      9192.000                            
'2015-07-06 00:00:00'      8502.000                            
    ;


    PO_LineUtilization(iTime,iTransmissionLine) := data { } ;

    PO_OverGeneration(iTime) := data { } ;

    PO_UnmetDemand(iTime) := data { } ;

    VC_OnOffStatus(iTime,iNonRenewableGenerator) := data { } ;

    PD_SolutionTime := 0.125 ;

    PD_SolverStatus := "NormalCompletion" ;


    PO_StorageStatus(iTime,iStorageStatus) := data table 
                       Generation      Charge   Discharge
                    !  ----------  ----------  ----------
'2015-07-01 00:00:00'    3805.993    6026.007            
'2015-07-01 01:00:00'    3745.581    5104.419            
'2015-07-01 02:00:00'    3624.755    4767.245            
'2015-07-01 03:00:00'    3503.930    4596.070            
'2015-07-01 04:00:00'    3564.343    3849.657            
'2015-07-01 05:00:00'    3926.818    3529.182            
'2015-07-01 06:00:00'    4349.706    2486.294            
'2015-07-01 07:00:00'    5135.070    1969.430            
'2015-07-01 08:00:00'    5739.196    2099.304            
'2015-07-01 09:00:00'    5980.846    2473.154            
'2015-07-01 10:00:00'    6041.259    3639.241            
'2015-07-01 11:00:00'    5980.846    4248.154            
'2015-07-01 12:00:00'    5618.371    4097.629            
'2015-07-01 13:00:00'    5557.958    3176.542            
'2015-07-01 14:00:00'    5437.133    1545.367            
'2015-07-01 15:00:00'    5316.308     551.692            
'2015-07-01 16:00:00'    5001.000                 436.133
'2015-07-01 17:00:00'    4734.500                 823.458
'2015-07-01 18:00:00'    4681.000                1118.609
'2015-07-01 19:00:00'    5920.434     165.066            
'2015-07-01 20:00:00'    5799.609    2398.391            
