
    PO_GenerationByGeneratorType(iTime,iGeneratorType) := data table 
                        Nuclear       Oil  NGCC-Old  NGCC-New  NGCT-Old      Wind
                    !  --------  --------  --------  --------  --------  --------
'2015-07-02 04:30:00'   700.000    19.200  1400.000   949.570   337.500   285.119
'2015-07-02 04:45:00'   700.000    19.200  1400.000  1085.151   337.500   265.637
'2015-07-02 05:00:00'   700.000    19.200  1400.000  1146.979   337.500   243.000
'2015-07-02 05:15:00'   700.000    19.200  1400.000  1285.368   337.500   225.732
'2015-07-02 05:30:00'   700.000    19.200  1400.000  1323.184   337.500   215.110
'2015-07-02 05:45:00'   700.000    19.200  1400.000  1478.688   337.500   201.278
'2015-07-02 06:00:00'   700.000    19.200  1400.000  1618.237   337.500   186.000
'2015-07-02 06:15:00'   700.000    19.200  1400.000  1623.539   337.500   172.203
'2015-07-02 06:30:00'   700.000    19.200  1400.000  1982.113   337.500   172.015
'2015-07-02 06:45:00'   700.000    19.200  1548.404  2000.000   337.500   149.293
'2015-07-02 07:00:00'   700.000    19.200  1835.573  2000.000   337.500   138.000
'2015-07-02 07:15:00'   700.000    19.200  1864.214  2000.000   337.500   127.353
'2015-07-02 07:30:00'   700.000    19.200  2000.000  2000.000   343.922   105.707
'2015-07-02 07:45:00'   700.000    19.200  2000.000  2000.000   582.077    91.969
'2015-07-02 08:00:00'   700.000    48.000  2000.000  2000.000   675.000    85.000
'2015-07-02 08:15:00'   700.000    48.000  2000.000  2000.000   675.000    91.654
'2015-07-02 08:30:00'   700.000    48.000  2000.000  2000.000   675.000    87.906
'2015-07-02 08:45:00'   700.000    48.000  2000.000  2000.000   675.000    91.231
'2015-07-02 09:00:00'   700.000    48.000  2000.000  2000.000   675.000    94.000
'2015-07-02 09:15:00'   700.000    48.000  2000.000  2000.000   675.000    83.701
'2015-07-02 09:30:00'   700.000    48.000  2000.000  2000.000   675.000    61.965
'2015-07-02 09:45:00'   700.000    48.000  2000.000  2000.000   675.000    47.849
'2015-07-02 10:00:00'   700.000    48.000  2000.000  2000.000   675.000    34.000
'2015-07-02 10:15:00'   700.000    48.000  2000.000  2000.000   675.000    35.260
'2015-07-02 10:30:00'   700.000    48.000  2000.000  2000.000   675.000    45.002
'2015-07-02 10:45:00'   700.000    48.000  2000.000  2000.000   675.000    44.715
'2015-07-02 11:00:00'   700.000    48.000  2000.000  2000.000   675.000    54.000
'2015-07-02 11:15:00'   700.000    48.000  2000.000  2000.000   675.000    52.697
'2015-07-02 11:30:00'   700.000    48.000  2000.000  2000.000   675.000    52.405
'2015-07-02 11:45:00'   700.000    48.000  2000.000  2000.000   675.000    52.073
'2015-07-02 12:00:00'   700.000    48.000  2000.000  2000.000   675.000    54.000
'2015-07-02 12:15:00'   700.000    19.200  2000.000  2000.000   564.854    59.314
'2015-07-02 12:30:00'   700.000    48.000  2000.000  2000.000   675.000    68.759
'2015-07-02 12:45:00'   700.000    19.200  2000.000  2000.000   672.868    77.830
'2015-07-02 13:00:00'   700.000    19.200  2000.000  2000.000   638.331    87.000
'2015-07-02 13:15:00'   700.000    48.000  2000.000  2000.000   675.000    85.943
'2015-07-02 13:30:00'   700.000    19.200  2000.000  2000.000   615.745    79.507
'2015-07-02 13:45:00'   700.000    19.200  2000.000  2000.000   521.177    79.235
'2015-07-02 14:00:00'   700.000    19.200  2000.000  2000.000   531.971    75.000
'2015-07-02 14:15:00'   700.000    19.200  2000.000  2000.000   496.600    80.113
'2015-07-02 14:30:00'   700.000    19.200  2000.000  2000.000   631.321    82.439
'2015-07-02 14:45:00'   700.000    19.200  2000.000  2000.000   522.152    82.573
'2015-07-02 15:00:00'   700.000    19.200  2000.000  2000.000   402.612    86.000
'2015-07-02 15:15:00'   700.000    19.200  1882.043  2000.000   337.500    92.050
'2015-07-02 15:30:00'   700.000    19.200  2000.000  2000.000   380.130   100.662
'2015-07-02 15:45:00'   700.000    19.200  2000.000  2000.000   399.715   111.181
'2015-07-02 16:00:00'   700.000    19.200  2000.000  2000.000   484.971   122.000
