
    PO_GenerationByGeneratorType(iTime,iGeneratorType) := data table 
                        Nuclear      Coal       Oil  NGCC-New      Wind     Solar
                    !  --------  --------  --------  --------  --------  --------
'2015-07-01 12:45:00'   400.000   383.000   400.000  2327.915  1455.556   742.011
'2015-07-01 12:50:00'   400.000   383.000   400.000  2293.848  1451.749   774.055
'2015-07-01 12:55:00'   400.000   383.000   400.000  2131.324  1429.471   780.115
'2015-07-01 13:00:00'   400.000   383.000   400.000  2147.958  1445.000   782.000
'2015-07-01 13:05:00'   400.000   383.000   400.000  2335.339  1370.282   805.061
'2015-07-01 13:10:00'   400.000   383.000   400.000  2112.747  1412.071   802.593
'2015-07-01 13:15:00'   400.000   383.000   400.000  2136.617  1315.812   760.403
'2015-07-01 13:20:00'   400.000   383.000   400.000  2213.795  1391.425   779.725
'2015-07-01 13:25:00'   400.000   383.000   400.000  2307.434  1318.029   737.976
'2015-07-01 13:30:00'   400.000   383.000   400.000  2449.737  1272.462   757.128
'2015-07-01 13:35:00'   400.000   383.000   400.000  2299.014  1261.913   829.430
'2015-07-01 13:40:00'   400.000   383.000   400.000  2337.542  1167.161   794.131
'2015-07-01 13:45:00'   400.000   383.000   400.000  2182.820  1183.772   814.590
'2015-07-01 13:50:00'   400.000   383.000   400.000  2300.781  1147.128   791.872
'2015-07-01 13:55:00'   400.000   383.000   400.000  2320.179  1092.312   798.182
'2015-07-01 14:00:00'   400.000   383.000   400.000  2363.133  1083.000   808.000
'2015-07-01 14:05:00'   400.000   383.000   400.000  2529.738  1058.819   783.433
'2015-07-01 14:10:00'   400.000   383.000   400.000  2495.574  1099.315   795.269
'2015-07-01 14:15:00'   400.000   383.000   400.000  2412.115   993.930   791.905
'2015-07-01 14:20:00'   400.000   383.000   400.000  2306.661  1032.032   729.771
'2015-07-01 14:25:00'   400.000   383.000   400.000  2311.488  1001.529   805.894
'2015-07-01 14:30:00'   400.000   383.000   400.000  2409.152   992.306   709.121
'2015-07-01 14:35:00'   400.000   383.000   400.000  2478.790   956.307   725.805
'2015-07-01 14:40:00'   400.000   383.000   400.000  2449.301  1001.527   716.794
'2015-07-01 14:45:00'   400.000   383.000   400.000  2413.796   956.667   736.584
'2015-07-01 14:50:00'   400.000   383.000   400.000  2354.283   957.102   783.487
'2015-07-01 14:55:00'   400.000   383.000   400.000  2541.630   920.069   718.211
'2015-07-01 15:00:00'   400.000   383.000   400.000  2530.308   907.000   696.000
'2015-07-01 15:05:00'   400.000   383.000   400.000  2566.659   902.122   677.872
'2015-07-01 15:10:00'   400.000   383.000   400.000  2351.940   924.984   682.796
'2015-07-01 15:15:00'   400.000   383.000   400.000  2644.963   895.214   664.016
'2015-07-01 15:20:00'   400.000   383.000   400.000  2624.539   870.132   655.290
'2015-07-01 15:25:00'   400.000   383.000   400.000  2599.955   878.761   684.223
'2015-07-01 15:30:00'   400.000   383.000   400.000  2745.352   828.922   659.404
'2015-07-01 15:35:00'   400.000   383.000   400.000  2631.730   813.918   664.362
'2015-07-01 15:40:00'   400.000   383.000   400.000  2698.907   818.870   595.452
'2015-07-01 15:45:00'   400.000   383.000   400.000  2908.575   802.989   607.062
